query_originale,adresse_normalisee,numero,rue,code_postal,ville,departement,longitude,latitude,score_geocodage,type_site,source,erreur,type_donnee,id_legacy,nom,prenom,email,telephone,date_embauche,Poste,type_contrat,tournee,salaire_brut,reference,designation,description,type,unite,prix_achat_ht,prix_vente_ht,taux_tva,client_id,raison_sociale,client_email,client_telephone,client_adresse,site_id,site_nom,site_adresse,site_ville,site_code_postal,client_created_at,nb_interventions_total,derniere_intervention,date_traitement
,,,,,,,,,,,,,salarie_legacy,EMP0039,Thibault,Manon,thibaulthamon@example.net,04 58 40 81 80,2024-01-07,Agent de nettoyage,CDD,Ouest,2057.21,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0040,Faivre,Brigitte,oleroux@example.com,03 70 00 58 38,,Technicien de surface,CDI,Sud,3254.08,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0041,Georges,Victor,jeanne07@example.com,03 45 01 08 25,2022-01-25,Technicien de surface,CDI,Sud,2127.35,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0042,Poirier,Valentine,jthierry@example.net,+3333 (0)8 07 49 10 89,,Agent de nettoyage,CDD,Centre,3351.15,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0043,Coste,Manon,bdupuis@example.com,+33 (0)4 23 13 52 63,2025-06-16,Responsable de secteur,CDI,Ouest,3341.54,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0044,Poirier,Mathilde,rene01@example.net,+33 (0)1 43 39 94 47,2019-11-19,Agent polyvalent,Interim,Centre,2608.82,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0045,Thomas,Célina,bmenard@example.com,+33 (0)1 39 93 22 10,2024-01-11,Technicien de surface,CDI,Est,3167.45,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0046,Ribeiro,Alexandre,kgrondin@example.com,03 82 86 30 39,2023-09-03,Agent polyvalent,CDI,Nord,2522.35,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0047,Ledoux,Maurice,jeanceline@example.net,01 73 45 53 67,2018-12-13,Agent de nettoyage,CDI,Nord,2845.59,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0048,Delaunay,Éric,betienne@example.net,+3333 (0)3 20 77 94 07,2017-01-31,Technicien de surface,CDD,,2328.88,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0049,Lévêque,Claire,sschmitt@example.org,04 69 68 46 70,2020-05-26,Chef d'équipe,CDI,Sud,3285.32,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0050,Becker,Amélie,ribeirohugues@example.org,08 03 17 43 81,2016-08-28,Agent de nettoyage,CDI,,1742.72,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0001,Détergent Sol,Produit professionnel — A Light in the Attic,produit,L,43.48,62.12,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0002,Dégraissant Multi-Surfaces,Produit professionnel — Tipping the Velvet,produit,L,45.14,64.49,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0003,Désinfectant,Produit professionnel — Soumission,produit,L,42.08,60.12,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0004,Produit Vitres,Produit professionnel — Sharp Objects,produit,L,40.17,57.38,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0005,Décapant,Produit professionnel — Sapiens: A Brief History of Humankind,produit,L,45.56,65.08,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0006,Cire Sol,Produit professionnel — The Requiem Red,produit,L,19.03,27.18,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0007,Nettoyant Sanitaires,Produit professionnel — The Dirty Little Secrets of Getting Your Dream Job,produit,L,28.01,40.01,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0008,Détartrant,Produit professionnel — The Coming Woman: A Novel Based on the Life of the,produit,L,15.06,21.52,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0009,Produit Moquette,Produit professionnel — The Boys in the Boat: Nine Americans and Their Epi,produit,L,18.98,27.12,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0010,Neutralisant Odeurs,Produit professionnel — The Black Maria,produit,L,43.81,62.58,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0011,Savon Mains Professionnel,"Produit professionnel — Starving Hearts (Triangular Trade Trilogy, #1)",produit,L,11.75,16.79,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0012,Gel Hydroalcoolique,Produit professionnel — Shakespeare's Sonnets,produit,L,17.35,24.79,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0013,Balai Serpillière,Produit professionnel — Set Me Free,produit,L,14.66,20.95,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0014,Raclette Vitre,Produit professionnel — Scott Pilgrim's Precious Little Life (Scott Pilgri,produit,L,43.92,62.75,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0015,Chariot De Ménage,Produit professionnel — Rip it Up and Start Again,produit,L,29.41,42.02,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0016,Sac Poubelle 100L,Produit professionnel — Our Band Could Be Your Life: Scenes from the Ameri,produit,u,48.09,68.7,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0017,Gants Nitrile,Produit professionnel — Olio,produit,u,20.06,28.66,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0018,Microfibre Sol,Produit professionnel — Mesaerion: The Best Science Fiction Stories 1800-1,produit,L,31.58,45.11,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0019,Spray Désinfectant,Produit professionnel — Libertarianism for Beginners,produit,L,43.12,61.6,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,scraping,,catalogue_produit,,,,,,,,,,,NETT-0020,Bidon 5L,Produit professionnel — It's Only the Himalayas,produit,L,37.94,54.2,20.0,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,1.0,Vincent Clément Sarl,remy46@gimenez.net,03 57 65 77 03,"7, avenue de Olivier, 19399 ChauvinBourg",10.0,Site Fabre,"39, rue Yves Boutin",Camus,41526,2025-09-22,0.0,,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,2.0,Chevallier S.A.R.L.,michellejoseph@fischer.net,02 90 38 16 15,"rue Pierre Leroy, 20425 Colin-sur-Perrin",20.0,Site Sainte CorinneBourg,"762, boulevard Benoît Guyot",Moreau,54295,2025-03-20,7.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,2.0,Chevallier S.A.R.L.,michellejoseph@fischer.net,02 90 38 16 15,"rue Pierre Leroy, 20425 Colin-sur-Perrin",21.0,Site Chauvet-la-Forêt,"17, chemin de Letellier",Saint Honoré,21747,2025-07-24,3.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,3.0,Delorme,emiliecarlier@launay.fr,02 43 16 75 24,"chemin Lecoq, 97125 Sainte Juliendan",30.0,Site Sainte Margaret,"22, boulevard Susanne Navarro",Sainte Claudedan,62227,2024-09-07,13.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,4.0,Grenier Jacob S.A.,mjoubert@moreno.com,04 89 57 92 47,"7, rue de Lamy, 30309 Hardy",40.0,Site Garnierboeuf,"16, rue Legrand",Saint Édithville,52567,2025-05-07,2.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,5.0,Bonnin Et Fils,francoisbrun@traore.net,+33 (0)1 81 47 96 27,"97, avenue Célina Léger, 56829 Sainte Agatheboeuf",50.0,Site Morin,"6, rue Charrier",Jacquet,31911,2025-01-09,0.0,,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,5.0,Bonnin Et Fils,francoisbrun@traore.net,+33 (0)1 81 47 96 27,"97, avenue Célina Léger, 56829 Sainte Agatheboeuf",51.0,Site Fischer,rue Perrot,Légerville,97230,2025-05-02,6.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,6.0,Rodrigues Bailly Sarl,merciervalentine@normand.org,+33 (0)2 77 39 62 45,"avenue de Gosselin, 72351 Voisin",60.0,Site Loiseau,"71, chemin de Mendès",Picard-Les-Bains,82270,2024-07-08,7.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,6.0,Rodrigues Bailly Sarl,merciervalentine@normand.org,+33 (0)2 77 39 62 45,"avenue de Gosselin, 72351 Voisin",61.0,Site Carlier,"5, avenue Dominique Paris",Sainte Margot-Les-Bains,26308,2024-12-06,8.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,6.0,Rodrigues Bailly Sarl,merciervalentine@normand.org,+33 (0)2 77 39 62 45,"avenue de Gosselin, 72351 Voisin",62.0,Site Dos Santos,boulevard Leleu,Saint Adrienne,61270,2025-04-28,5.0,2026-06-22,2026-06-23
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,6.0,Rodrigues Bailly Sarl,merciervalentine@normand.org,+33 (0)2 77 39 62 45,"avenue de Gosselin, 72351 Voisin",63.0,Site Langlois-la-Forêt,"1, boulevard Bertrand",Rossiville,97227,2025-02-23,10.0,2026-06-22,2026-06-23
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,7.0,Ferreira,colettedurand@boucher.net,+33 (0)1 64 13 92 47,"36, rue de Perrin, 13937 Sainte Émilie-sur-Mer",70.0,Site Merle,"99, rue de Sauvage",Royer-Sur-Mary,65996,2025-10-13,6.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,7.0,Ferreira,colettedurand@boucher.net,+33 (0)1 64 13 92 47,"36, rue de Perrin, 13937 Sainte Émilie-sur-Mer",71.0,Site Clémentdan,"99, avenue de Faivre",Gimenez,80316,2024-09-10,3.0,2026-06-22,2026-06-23
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,8.0,Fabre Jacquot Sa,arnauddenise@tanguy.net,+33 (0)2 46 41 06 98,"39, boulevard Hervé, 34998 Saint Margot",80.0,Site Perriernec,"82, boulevard Jacquot",Benard,20487,2025-09-10,3.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,8.0,Fabre Jacquot Sa,arnauddenise@tanguy.net,+33 (0)2 46 41 06 98,"39, boulevard Hervé, 34998 Saint Margot",81.0,Site Sainte Étiennedan,boulevard Charrier,Cousin,48124,2025-08-14,11.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,8.0,Fabre Jacquot Sa,arnauddenise@tanguy.net,+33 (0)2 46 41 06 98,"39, boulevard Hervé, 34998 Saint Margot",82.0,Site Boyer-les-Bains,"692, rue de Baron",Chevalier-Les-Bains,14291,2026-02-17,8.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,8.0,Fabre Jacquot Sa,arnauddenise@tanguy.net,+33 (0)2 46 41 06 98,"39, boulevard Hervé, 34998 Saint Margot",83.0,Site RibeiroVille,"11, avenue Fabre",Menardbourg,97248,2025-10-18,14.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,9.0,Bruneau Sarl,roussetsophie@fournier.com,05 94 42 39 94,"avenue de Torres, 58849 Georges",90.0,Site Lefort-sur-Menard,"494, rue de Rolland",Milletville,85290,2025-07-03,12.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,10.0,Leroy Godard S.A.,jpaul@gerard.fr,03 83 43 08 32,"rue Astrid Mathieu, 19415 Durand-la-Forêt",100.0,Site Sainte Lorraine-les-Bains,"79, boulevard Nicolas Faivre",Sainte Renéedan,67383,2024-10-07,11.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,10.0,Leroy Godard S.A.,jpaul@gerard.fr,03 83 43 08 32,"rue Astrid Mathieu, 19415 Durand-la-Forêt",101.0,Site Bouvet-la-Forêt,"41, rue de Hoareau",Laurent,22520,2025-06-16,6.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,10.0,Leroy Godard S.A.,jpaul@gerard.fr,03 83 43 08 32,"rue Astrid Mathieu, 19415 Durand-la-Forêt",102.0,Site Saint Philippeboeuf,chemin Marie Jacob,Ruiz,97320,2024-10-02,1.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,11.0,Joseph,sfrancois@boulay.fr,+33 (0)3 73 46 40 80,"avenue Guibert, 90350 Clément-sur-Mer",110.0,Site Lopez-la-Forêt,"25, avenue Didier",Gilbert,10719,2026-01-02,2.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,11.0,Joseph,sfrancois@boulay.fr,+33 (0)3 73 46 40 80,"avenue Guibert, 90350 Clément-sur-Mer",111.0,Site Sainte Capucine-la-Forêt,"42, rue Grégoire",Saint Matthieuville,05910,2024-09-16,3.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,11.0,Joseph,sfrancois@boulay.fr,+33 (0)3 73 46 40 80,"avenue Guibert, 90350 Clément-sur-Mer",112.0,Site Saint Christine,"847, avenue de Dupont",Le Goff-Sur-Martinez,77906,2026-01-16,8.0,2026-06-22,2026-06-23
